0,Q^2=9.7 GeV^2,,,E_beam = 8.4 GeV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run Number,Date,Start Time,End Time,Target,"Beam Current
 (uA)","SBS Current 
(A)","BigBite Current
(A)","BBCal
Threshold (mV)","HCal
Threshold (mV)",Gas Target Pressure (PSIA),Target Polarization [%] (most recent NMR),IHWP state (IN/OUT),Plots Ok and in log book?,Good run ?,"Number of Events
(M)",Trigger Rate [Hz],Charge (C),Charge Corrected for Polarization (C),Accumulated Charge Corrected (C),Accumulated Charge Uncorrected (C),Prescales,Purpose,Notes/Comments,Uncorrected Accumulated Charge (C) on Fringe (for target experts),,,,,,,,,,,,,,,,,,,,,
#ERROR!,1/12/23,3:12,1:32,empty,up to 30 uA,0,750,250,,,,OUT,,,,450 Hz,,,,,"PS1 = 0, PS5 = 0",test ,Beam Checkout,,,,,,,,,,,,,,,,,,,,,,
3449,1/12/23,5:25,,optics,10,0,750,400,,,,OUT,,,,,,,,,,data on optic foils,,,,,,,,,,,,,,,,,,,,,,,
3456,1/12/23,7:49,7:56,carbon hole,5,0,750,400,,,,OUT,,,,,,,,,,imaging hole,"(1.55,1.05)",,,,,,,,,,,,,,,,,,,,,,
3459,1/12/23,11:51,12:06,carbon hole,5,0,750,400,,,,OUT,,,,,,,,,,imaging hole,"(0,1.05)",,,,,,,,,,,,,,,,,,,,,,
3460,1/12/23,12:08,12:26,carbon hole,5,0,750,300,,,,OUT,,,,,,,,,,imaging hole,"(0,1.05)",,,,,,,,,,,,,,,,,,,,,,
3464,1/12/23,16:26,17:02,,0,,,,,,,,,,0.570,,,,,,ps1=0,cosmic run with BB + SBS and corrector magnets ON,,,,,,,,,,,,,,,,,,,,,,,
3465,1/12/23,18:12,,,,,,,,,,,,,,,,,,,,BBCal calibratoin  BB + SBS and corrector magnets ON,,,,,,,,,,,,,,,,,,,,,,,
3467,1/13/23,11:42,14:05,no target,0,0,750,62,,,,,,,,,,,,,ps1=0,cosmic run with BB + SBS and corrector magnets ON,,,,,,,,,,,,,,,,,,,,,,,
3468,1/13/23,,,no target,,,,,,,,,,,,,,,,,,trash,,,,,,,,,,,,,,,,,,,,,,,
3469,1/13/23,16:53,18:13,no target,0,0,750,40,,,,OUT,,,0.264,,,,,,ps1=0,cosmics run with BB,,,,,,,,,,,,,,,,,,,,,,,
3470,1/13/23,19:25,19:48,carbon hole,5,0,750,308,,,,OUT,,,0.076,,,,,,ps1=0,imaging hole,"(0,0) Beam pos",,,,,,,,,,,,,,,,,,,,,,
3471,1/13/23,20:46,21:35,carbon hole,10 to 15,0,750,308,,,,OUT,,,0.256,,,,,,"ps1=0, ps5=3",imaging hole,"(0,0) Beam pos",,,,,,,,,,,,,,,,,,,,,,
3472,1/13/23,21.38,21:59,carbon hole,10-15,0,750,308,,,,OUT,,no,0.022,,,,,,"ps1=0,.ps5=3",imaging hole,"(-0.8,0) beam pos",,,,,,,,,,,,,,,,,,,,,,
3473,1/13/23,22:25,23:06,carbon hole,15,0,750,308,,,,OUT,,,0.350,,,,,,"ps1=0,.ps5=3",imaging hole,"(-0.8,0) beam pos",,,,,,,,,,,,,,,,,,,,,,
3474,1/13/2023,23:32,,carbon hole,15,2100,750,308,,,,OUT,,,,,,,,,"ps1=0,.ps5=3",imaging hole,"(-0.8,0) beam pos",,,,,,,,,,,,,,,,,,,,,,
3475,1/13/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3478,1/14/2023,,,carbon hole,5,,,,,,,,,,,,,,,,"ps1=0,.ps5=3",beam steering,"(-0.3,-0.1) beam pos, Raster (V=2.32, H = 1.99)",,,,,,,,,,,,,,,,,,,,,,
3479,1/14/2023,,,carbon hole,IB,,,,,,,,,,,,,,,,"ps1=0,.ps5=3",beam steering,"(-1.3, -0.1) beam pos, Raster (V=2.32, H = 1.99)",,,,,,,,,,,,,,,,,,,,,,
3481,1/14/2023,8:14,8:50,carbon hole,10,2100,750,287,,,,,,,1.100,800,,,,,,,"(-0.3, -1.1) beam pos. Raster (V=2.32, H = 1.99)",,,,,,,,,,,,,,,,,,,,,,
3483,1/14/2023,9:30,10:00,carbon hole,10,2100,750,287,,,,,,,0.800,800,,,,,"ps1=0,ps5=3",imaging hole,"(-0.3,+0.9) beam pos, Raster (V=2.32, H = 1.99)",,,,,,,,,,,,,,,,,,,,,,
3487,1/14/2023,10:45,11:03,carbon hole,10,2100,750,287,,,,,,,0.600,750,,,,,"ps1=0,ps5=3",imaging hole + raster adjustment,"(-1.3,-0.1) beam pos,  Raster (V=1.95, H=1.95)",,,,,,,,,,,,,,,,,,,,,,
3488,1/14/2023,11:09,11:18,carbon hole,10,2100,750,287,,,,,,,0.300,750,,,,,"ps1=0,ps5=3",imaging hole + raster adjustment,"(-1.30,-0.1)beam pos, Raster(V=1.80, H=1.95)",,,,,,,,,,,,,,,,,,,,,,
3491,1/14/2023,11:32,12:13,carbon hole,10,2100,750,287,,,,,,,1.300,750,,,,,"ps1=0,ps5=3",imaging hole + raster adjustment,"(-1.30,-0.1)beam pos, Raster(V=2.10, H=1.80)",,,,,,,,,,,,,,,,,,,,,,
3492,1/14/2023,22:31,22:37,carbon hole,10,2100,750,287,,,,,,,0.108,340,,,,,"ps1=0,ps5=3",test,"(-0.3,-0.1) beam pos, Raster (V=2.5, H = 1.95)",,,,,,,,,,,,,,,,,,,,,,
3493,1/15/2023,0:07,,carbon hole,5,2100,750,287,,,,,,,,,,,,,"ps1=0,ps5=3",,"(-0.3,-0.1) beam pos, Raster (V=2.0, H = 1.95)",,,,,,,,,,,,,,,,,,,,,,
3494,1/15/2023,0:42:00,1:47,carbon hole,5,2100,750,287,,,,,,,,,,,,,"ps1=0,ps5=3",t,"(-0.3,-0.1) beam pos, Raster (V=2.0, H = 1.95)",,,,,,,,,,,,,,,,,,,,,,
3495,1/15/2023,1:52,1:58:00,carbon optics,5,2100,750,287,,,,,,,,,,,,,"ps1=0,ps5=3",,"(-0.3,-0.1) beam pos, Raster (V=2.0, H = 1.95)",,,,,,,,,,,,,,,,,,,,,,
3496,1/15/2023,2:03:00,2:04:00,carbon optics,5,2100,750,287,,,,,,,,,,,,,"ps1=0,ps5=3",,"(-0.3,-0.1) beam pos, Raster (V=2.5, H = 1.95)",,,,,,,,,,,,,,,,,,,,,,
3497,1/15/2023,2:09,,carbon hole,5,2100,750,287,,,,,,,,,,,,,"ps1=0,ps5=3",,"(-0.3,-0.1) beam pos, Raster (V=2.5, H = 1.95)",,,,,,,,,,,,,,,,,,,,,,
3498,1/15/2023,6:03,6:18,Empty  reference cell,10,2100,750,287,-18.43,,,,,,76.8k,,,,,,"ps1=0,ps5=3",preparing to production,"(-0.3,-0.1) beam pos, Raster (V=2.5, H = 1.95)",,,,,,,,,,,,,,,,,,,,,,
3499,1/15/2023,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3500,1/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3501,1/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3502,1/15/2023,,,,,2100,750,350,,,,,,,,,,,,,"ps1=3, ps3=0, ps5=3",Current Scan,"5, 10, 15 uA",,,,,,,,,,,,,,,,,,,,,,
3503,1/15/2023,,,,,2100,750,350,,,,,,,,,,,,,"ps1=3, ps3=0, ps5=3",Current Scan,"20, 25 uA",,,,,,,,,,,,,,,,,,,,,,
3504,1/15/2023,,,,,2100,750,350,,,,,,no,,,,,,,"ps1=3, ps3=0, ps5=3",,Junk,,,,,,,,,,,,,,,,,,,,,,
3505,1/15/2023,15:52,16:16,carbon hole,,2100,750,350,,,,,,,,,,,,,"ps1=3, ps3=0, ps5=3",Preparing to production,,,,,,,,,,,,,,,,,,,,,,,
3506,1/15/2023,16:19,16:36,carbon hole,5,2100,750,350,-19,,,,,JUNK,,,,,,,"ps1=0, ps3=0, ps5=3",Beam spot check,DAQ issues -- the rate too low,,,,,,,,,,,,,,,,,,,,,,
3507,1/15/2023,,,carbon hole,5,2100,750,350,-19,,,,,JUNK,,,,,,,"ps1=0, ps3=0, ps5=3",Beam spot check,DAQ issues -- the rate too low,,,,,,,,,,,,,,,,,,,,,,
3508,1/15/2023,16:47,17:12,carbon hole,5,2100,750,"-350, -200",-19,,,,,,,,,,,,"ps1=0, ps3=0, ps5=3",Beam spot check,"Beam spot check, ps1=0, BBCal thesh = -200 mV",,,,,,,,,,,,,,,,,,,,,,
3509,1/15/2023,17:26,17:34,pol He3 cell,5,2100,750,-350,-19,,33.6,,,,,,,,,,"ps3=0, ps5=6, else=-1",,"Rate was very low, stopped to change ps1",,,,,,,,,,,,,,,,,,,,,,
3510,1/15/2023,17:36,18:06,pol He3 cell,5,2100,750,-350,-19,,33.6,OUT,yes,yes,0.138,90,0.010,0.006,0.006,0.010,"ps1=0, ps3=0, ps5=6",,,,,,,,,,,,,,,,,,,,,,,,
3511,1/15/2023,18:09,18:41,pol He3 cell,10,2100,750,-350,-25,,33.6,OUT,yes,yes,0.199,140,0.017,0.009,0.015,0.027,"ps1=0, ps3=0, ps5=6",,,,,,,,,,,,,,,,,,,,,,,,
3512,1/15/2023,18:45,19:12,pol He3 cell,20,2100,750,-350,-25,,33.6,OUT,yes,yes,0.292,300,0.022,0.012,0.027,0.049,"ps1=0, ps3=0, ps5=6",,,,,,,,,,,,,,,,,,,,,,,,
3513,1/15/2023,19:15,19:27,pol He3 cell,30,2100,750,-350,-25,,33.6,OUT,,JUNK,,,,0.000,0.027,0.049,"ps1=0, ps3=0, ps5=6",,no beam,,,,,,,,,,,,,,,,,,,,,,
