Date,PC X UP,PC X DOWN,TC UP,TC DOWN
10 19 21 02,1.348,1.261,5.26541,5.25837
10 19 22 37,1.685,1.616,6.6476,6.57105
10 20 2 3,2.26,2.154,9.0604,9.01058
10 20 5 53,2.941,2.795,11.6403,11.5857
10 20 10 28,3.497,3.345,13.5842,13.4109
10 20 11 23,3.553,3.386,13.8311,13.7218
10 20 12 27,3.79,3.689,14.4708,14.2701
10 20 14 3,4.291,4.087,16.3067,16.1294
10 20 15 12,4.416,4.259,17.069,16.8498
10 20 16 17,4.61,4.435,17.8364,17.5997
10 20 17 21,6.645,6.645,30.9489,30.9489
10 20 18 44,7.104,7.104,34.118,34.118
10 20 19 3,5.151,4.981,21.1354,20.8724
10 20 19 12,4.35,4.137,18.355,18.0952
10 20 22 35,5.854,5.586,23.3216,23.2188
10 21 1 16,5.681,5.462,22.8962,22.6721
10 21 3 48,5.657,5.43,23.3216,23.012
10 21 6 23,5.773,5.508,24.0142,23.6548
10 21 9 20,5.954,5.688,24.4119,24.0388
10 21 11 48,5.906,5.661,24.588,24.2137
